date,equity
2025-11-12,140145.06
2025-11-13,137481.34
2025-11-14,137693.12
2025-11-17,136439.68
2025-11-18,135082.76
2025-11-19,135787.07
2025-11-20,132449.15
2025-11-21,132942.91
2025-11-24,135939.93
2025-11-25,137042.15
2025-11-26,137650.42
2025-11-28,138879.47
2025-12-01,138404.92
2025-12-02,139541.58
2025-12-03,140081.85
2025-12-04,140100.48
2025-12-05,140587.37
2025-12-08,140855.4
2025-12-09,140925.77
2025-12-10,141536.29
2025-12-11,141734.63
2025-12-12,138788.48
2025-12-15,138121.4
2025-12-16,138265.62
2025-12-17,135990.32
2025-12-18,137563.78
2025-12-19,139015.4
2025-12-22,139666.69
2025-12-23,140348.5
2025-12-24,140596.02
2025-12-26,140429.02
2025-12-29,139853.6
2025-12-30,139352.58
2025-12-31,138485.39
2026-01-02,139391.29
2026-01-05,140560.76
2026-01-06,141827.5
2026-01-07,141617.54
2026-01-08,141101.44
2026-01-09,142346.2
2026-01-12,142690.12
2026-01-13,142732.63
2026-01-14,141619.18
2026-01-15,142264.49
2026-01-16,142255.89
2026-01-20,139720.27
2026-01-21,141333.0
2026-01-22,141963.07
2026-01-23,141994.84
2026-01-26,142630.08
2026-01-27,143488.61
2026-01-28,144069.42
2026-01-29,143513.86
2026-01-30,141673.36
2026-02-02,142378.7
2026-02-03,140029.1
2026-02-04,137728.12
2026-02-05,136324.34
2026-02-06,139553.77
2026-02-09,140917.01
2026-02-10,140351.62
2026-02-11,140761.07
2026-02-12,138252.65
2026-02-13,138727.92
2026-02-17,138427.62
2026-02-18,139576.41
2026-02-19,139197.41
2026-02-20,139590.26
