date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2026-01-08,STOP,AMAT,12.0,280.9399,3371.28,,trailing lock hw=14.29% now=8.74%,29664.72,113503.15
2026-01-09,BUY,COHR,18.0,178.06,3205.08,0.5698,score=+0.57 sector=semiconductors,26458.04,114112.49
2026-01-12,SELL,QQQ,91.0,625.6926,56938.02,-0.0842,score=-0.08 <= exit_thr=+0.00,83367.6,114642.03
2026-01-12,BUY,QQQ,91.0,625.6926,56938.02,-0.0842,benchmark core target=50%,26401.1,114613.56
2026-01-13,STOP,ISRG,6.0,561.82,3370.92,,trailing lock hw=9.32% now=3.60%,29770.34,114406.48
2026-01-13,BUY,AAPL,13.0,260.5659,3387.36,0.6317,score=+0.63 sector=mega_cap_tech,26381.29,114404.78
2026-01-14,BUY,AXP,9.0,356.1561,3205.4,0.5878,score=+0.59 sector=fintech,23174.28,113536.89
2026-01-16,STOP,PATH,186.0,14.34,2667.24,,stop pl=-13.98% vs -12.00%,25840.19,113801.5
2026-01-16,BUY,ABNB,23.0,130.66,3005.18,0.7469,score=+0.75 sector=other,22833.5,113799.99
2026-01-20,STOP,TSM,11.0,325.4785,3580.26,,trailing lock hw=19.00% now=13.70%,26411.98,111813.99
2026-01-20,STOP,GOOG,10.0,321.7396,3217.4,,trailing lock hw=8.76% now=4.15%,29627.76,111812.38
2026-01-20,STOP,GOOGL,13.0,321.5814,4180.56,,trailing lock hw=13.23% now=8.52%,33806.23,111810.29
2026-01-20,STOP,AAPL,13.0,246.2425,3201.15,,stop pl=-5.50% vs -4.96%,37005.78,111808.69
2026-01-20,BUY,QQQ,1.0,606.6276,606.63,0.37,benchmark core target=50%,36398.85,111808.39
2026-01-20,BUY,ABNB,9.0,130.73,1176.57,0.75,score=+0.75 sector=other,35221.7,111807.8
2026-01-20,BUY,ISRG,6.0,527.44,3164.64,0.6251,score=+0.63 sector=robotics,32055.47,111806.22
2026-01-20,BUY,ZM,42.0,81.32,3415.44,0.6138,score=+0.61 sector=software,28638.33,111804.51
2026-01-21,SELL,ZM,42.0,81.18,3409.56,-0.0487,score=-0.05 <= exit_thr=+0.00,32046.18,113040.84
2026-01-21,BUY,FLYW,362.0,13.47,4876.14,0.864,score=+0.86 sector=fintech,27167.6,113038.4
2026-01-21,BUY,ISRG,2.0,523.69,1047.38,0.7927,score=+0.79 sector=robotics,26119.7,113037.88
2026-01-21,BUY,ROK,8.0,417.5575,3340.46,0.6241,score=+0.62 sector=robotics,22777.57,113036.21
2026-01-22,SELL,ABNB,32.0,133.8,4281.6,-0.0237,score=-0.02 <= exit_thr=+0.00,27057.03,113709.13
2026-01-22,BUY,CSCO,11.0,73.6539,810.19,0.7711,score=+0.77 sector=other,26246.43,113708.73
2026-01-26,BUY,GOOGL,10.0,332.8268,3328.27,0.6231,score=+0.62 sector=mega_cap_tech,22916.5,114139.57
